date,atlfed_as_of,meeting_date,target_rate_pct,target_bps,kalshi_bid,kalshi_ask,kalshi_mid_pct,atlfed_prob_pct,spread_pp,kalshi_oi,kalshi_vol_24h
2026-05-28,2026-05-26,2027-01-27,3.5,350,31.0,60.0,45.49999999999999,,,1053.0,0.0
2026-05-28,2026-05-26,2027-01-27,3.25,325,43.0,72.0,57.49999999999999,,,2395.42,0.0
2026-05-28,2026-05-26,2027-01-27,3.0,300,67.0,72.0,69.5,,,1106.99,5.45
2026-05-28,2026-05-26,2027-01-27,2.75,275,71.0,84.0,77.49999999999999,,,213.0,0.0
2026-05-28,2026-05-26,2027-01-27,2.5,250,76.0,93.0,84.5,,,274.99,0.0
2026-05-28,2026-05-26,2027-01-27,2.25,225,74.0,90.0,82.0,,,172.0,0.0
2026-05-28,2026-05-26,2027-01-27,2.0,200,57.99999999999999,95.0,76.49999999999999,,,360.17,0.0
2026-05-28,2026-05-26,2027-01-27,1.75,175,59.0,97.0,78.0,,,172.0,0.0
2026-05-28,2026-05-26,2027-01-27,1.5,150,53.0,97.0,75.0,,,932.51,0.0
2026-05-28,2026-05-26,2027-01-27,1.25,125,88.0,94.0,90.99999999999999,,,502.01,0.0
2026-05-28,2026-05-26,2027-01-27,1.0,100,71.0,93.0,82.0,,,324.51,11.0
2026-05-28,2026-05-26,2027-01-27,0.75,75,86.0,97.0,91.5,,,400.0,0.0
2026-05-28,2026-05-26,2027-01-27,0.5,50,69.0,99.0,84.0,,,304.01,0.0
2026-05-28,2026-05-26,2027-01-27,0.25,25,80.0,99.0,89.5,,,338.0,0.0
2026-05-28,2026-05-26,2026-12-09,5.25,525,1.0,11.0,6.0,,,306.0,0.0
2026-05-28,2026-05-26,2026-12-09,5.0,500,3.0,9.0,6.0,,,125.0,0.0
2026-05-28,2026-05-26,2026-12-09,4.75,475,2.0,10.0,6.000000000000001,,,179.0,0.0
2026-05-28,2026-05-26,2026-12-09,4.5,450,2.0,9.0,5.5,,,233.0,0.0
2026-05-28,2026-05-26,2026-12-09,4.25,425,6.0,12.0,9.0,,,525.07,0.0
2026-05-28,2026-05-26,2026-12-09,4.0,400,12.0,28.999999999999996,20.5,,,359.0,0.0
2026-05-28,2026-05-26,2026-12-09,3.75,375,18.0,60.0,39.0,,,355.0,1.0
2026-05-28,2026-05-26,2026-12-09,3.5,350,56.00000000000001,65.0,60.5,,,11769.32,0.0
2026-05-28,2026-05-26,2026-12-09,3.25,325,67.0,74.0,70.5,,,3370.95,15.0
2026-05-28,2026-05-26,2026-12-09,3.0,300,81.0,86.0,83.5,,,1631.61,0.0
2026-05-28,2026-05-26,2026-12-09,2.75,275,85.0,86.0,85.5,,,4241.85,4.0
2026-05-28,2026-05-26,2026-10-28,5.25,525,0.0,1.0,0.5,,,339.0,1.0
2026-05-28,2026-05-26,2026-10-28,5.0,500,0.0,20.0,10.0,,,24.0,0.0
2026-05-28,2026-05-26,2026-10-28,4.75,475,0.0,4.0,2.0,,,504.0,0.0
2026-05-28,2026-05-26,2026-10-28,4.5,450,4.0,5.0,4.5,,,136.0,0.0
2026-05-28,2026-05-26,2026-10-28,4.25,425,3.0,10.0,6.5,,,11.0,0.0
2026-05-28,2026-05-26,2026-10-28,4.0,400,7.000000000000001,23.0,15.000000000000002,,,398.01,0.01
2026-05-28,2026-05-26,2026-10-28,3.75,375,8.0,28.999999999999996,18.5,,,370.94,0.01
2026-05-28,2026-05-26,2026-10-28,3.5,350,74.0,83.0,78.49999999999999,,,2620.15,0.0
2026-05-28,2026-05-26,2026-10-28,3.25,325,78.0,82.0,80.0,,,1755.83,4.0
2026-05-28,2026-05-26,2026-10-28,3.0,300,81.0,98.0,89.5,,,925.0,1.0
2026-05-28,2026-05-26,2026-10-28,2.75,275,83.0,97.0,89.99999999999999,,,604.01,0.0
2026-05-28,2026-05-26,2026-09-16,5.25,525,0.0,3.0,1.5,,,159.0,0.0
2026-05-28,2026-05-26,2026-09-16,5.0,500,0.0,3.0,1.5,,,184.0,10.0
